Oscar Robertson,12.9
Jerry Lucas,9.5
Tom Van Arsdale,4.8
Connie Dierking,3.0
John Tresvant,1.3
Adrian Smith,2.6
Walt Wesley,1.7
Bill Dinwiddie,-1.5
Fred Hetzel,1.9
Al Tucker,0.9
Fred Foster,-0.2
Pat Frink,-0.5
Zaid Abdul-Aziz,-0.1
Doug Sims,0.0
